4K频道,#genre#
纪实人文,http://10.0.0.26:35455/itv/1000000005000265021.m3u8?cdn=ystenlive
五星体育,http://10.0.0.26:35455/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://10.0.0.26:35455/itv/5000000011000031110.m3u8?cdn=bestzb


四川卫视,http://10.0.0.26:35455/itv/5000000004000006119.m3u8?cdn=bestzb


云南卫视,http://10.0.0.26:35455/itv/5000000011000031120.m3u8?cdn=bestzb

浙江卫视,http://10.0.0.26:35455/itv/5000000004000007275.m3u8?cdn=bestzb
浙江卫视,http://10.0.0.26:35455/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://10.0.0.26:35455/itv/1000000005000265031.m3u8?cdn=ystenlive


重庆卫视,http://10.0.0.26:35455/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视,http://10.0.0.26:35455/itv/1000000005000265017.m3u8?cdn=ystenlive

NEWTV,#genre#
NewTV精品综合,http://10.0.0.26:35455/itv/1000000004000019008.m3u8?cdn=ystenlive
newtv精品大剧,http://10.0.0.26:35455/itv/1000000004000013968.m3u8?cdn=ystenlive
newtv精品纪录,http://10.0.0.26:35455/itv/1000000004000013730.m3u8?cdn=ystenlive
newtv精品体育,http://10.0.0.26:35455/itv/1000000004000014634.m3u8?cdn=ystenlive
NEWTV精品萌宠,http://10.0.0.26:35455/itv/1000000006000032328.m3u8?cdn=ystenlive
newtv爱情喜剧,http://10.0.0.26:35455/itv/2000000003000000010.m3u8?cdn=hnbblive
newtv超级电视剧,http://10.0.0.26:35455/itv/1000000006000268003.m3u8?cdn=ystenlive
newtv超级电影,http://10.0.0.26:35455/itv/1000000003000012426.m3u8?cdn=ystenlive
newtv超级体育,http://10.0.0.26:35455/itv/1000000001000009601.m3u8?cdn=ystenlive
newtv超级综艺,http://10.0.0.26:35455/itv/1000000006000268002.m3u8?cdn=ystenlive
newtv潮妈辣婆,http://10.0.0.26:35455/itv/2000000003000000018.m3u8?cdn=hnbblive
NewTV东北热剧,http://10.0.0.26:35455/itv/1000000005000266013.m3u8?cdn=ystenlive
newtv动作电影,http://10.0.0.26:35455/itv/1000000004000018653.m3u8?cdn=ystenlive
NewTV古装剧场,http://10.0.0.26:35455/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTV欢乐剧场,http://10.0.0.26:35455/itv/1000000005000266012.m3u8?cdn=ystenlive
newtv家庭剧场,http://10.0.0.26:35455/itv/1000000004000008284.m3u8?cdn=ystenlive
NewTV金牌综艺,http://10.0.0.26:35455/itv/1000000004000026167.m3u8?cdn=ystenlive
newtv惊悚悬疑,http://10.0.0.26:35455/itv/1000000004000024282.m3u8?cdn=ystenlive
newtv军旅剧场,http://10.0.0.26:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
newtv军事评论,http://10.0.0.26:35455/itv/2000000003000000022.m3u8?cdn=hnbblive
NewTV魅力潇湘,http://10.0.0.26:35455/itv/1000000001000006197.m3u8?cdn=ystenlive
NewTV明星大片,http://10.0.0.26:35455/itv/2000000003000000016.m3u8?cdn=hnbblive
newtv农业致富,http://10.0.0.26:35455/itv/2000000003000000003.m3u8?cdn=hnbblive
NEWTV武博世界,http://10.0.0.26:35455/itv/2000000003000000007.m3u8?cdn=hnbblive
newtv炫舞未来,http://10.0.0.26:35455/itv/1000000001000000515.m3u8?cdn=ystenlive
newtv怡伴健康,http://10.0.0.26:35455/itv/1000000005000266011.m3u8?cdn=ystenlive
newtv中国功夫,http://10.0.0.26:35455/itv/2000000003000000009.m3u8?cdn=hnbblive
NEWTV黑莓电影,http://10.0.0.26:35455/itv/1000000004000019624.m3u8?cdn=ystenlive
NEWTV黑莓动画,http://10.0.0.26:35455/itv/1000000004000021734.m3u8?cdn=ystenlive
NEWTV哒啵电竞,http://10.0.0.26:35455/itv/1000000006000032327.m3u8?cdn=ystenlive
NEWTV哒啵赛事,http://10.0.0.26:35455/itv/1000000001000003775.m3u8?cdn=ystenlive

IHOT,#genre#
IHOT爱电竞,http://10.0.0.26:35455/itv/6000000006000230630.m3u8?cdn=wasusyt
IHOT爱谍战,http://10.0.0.26:35455/itv/6000000006000070630.m3u8?cdn=wasusyt
IHOT爱动漫,http://10.0.0.26:35455/itv/6000000006000280630.m3u8?cdn=wasusyt
IHOT爱都市,http://10.0.0.26:35455/itv/6000000006000080630.m3u8?cdn=wasusyt
IHOT爱怀旧,http://10.0.0.26:35455/itv/6000000006000260630.m3u8?cdn=wasusyt
IHOT爱经典,http://10.0.0.26:35455/itv/6000000006000060630.m3u8?cdn=wasusyt
IHOT爱科幻,http://10.0.0.26:35455/itv/6000000006000020630.m3u8?cdn=wasusyt
IHOT爱科学,http://10.0.0.26:35455/itv/6000000006000160630.m3u8?cdn=wasusyt
IHOT爱浪漫,http://10.0.0.26:35455/itv/6000000006000040630.m3u8?cdn=wasusyt
IHOT爱历史,http://10.0.0.26:35455/itv/6000000006000150630.m3u8?cdn=wasusyt
IHOT爱旅行,http://10.0.0.26:35455/itv/6000000006000250630.m3u8?cdn=wasusyt
IHOT爱奇谈,http://10.0.0.26:35455/itv/6000000006000270630.m3u8?cdn=wasusyt
IHOT爱青春,http://10.0.0.26:35455/itv/6000000006000100630.m3u8?cdn=wasusyt
IHOT爱赛车,http://10.0.0.26:35455/itv/6000000006000240630.m3u8?cdn=wasusyt
IHOT爱体育,http://10.0.0.26:35455/itv/6000000006000290630.m3u8?cdn=wasusyt
IHOT爱玩具,http://10.0.0.26:35455/itv/6000000006000220630.m3u8?cdn=wasusyt
IHOT爱喜剧,http://10.0.0.26:35455/itv/6000000006000010630.m3u8?cdn=wasusyt
IHOT爱悬疑,http://10.0.0.26:35455/itv/6000000006000050630.m3u8?cdn=wasusyt
IHOT爱幼教,http://10.0.0.26:35455/itv/6000000006000180630.m3u8?cdn=wasusyt
IHOT爱院线,http://10.0.0.26:35455/itv/6000000006000030630.m3u8?cdn=wasusyt

咪咕体育,#genre#
咪咕4k,http://10.0.0.26:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000001000008176.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000001000008379.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000001000010129.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000001000010948.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000001000028638.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000001000031494.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000010000005837.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000020000011518.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000020000011519.m3u8?cdn=FifastbLive
咪咕4k,http://10.0.0.26:35455/itv/3000000020000011520.m3u8?cdn=FifastbLive
